epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5945.97,0.45234,0.46252,0.80716,0.91144,0.89851,0.94775,0.86124,0.42173,0.41983,0.79946,0.000148525,0.000148525,0.000148525
43,6122.29,0.4482,0.46083,0.80466,0.91319,0.90105,0.94801,0.86145,0.42111,0.41662,0.79778,0.00014605,0.00014605,0.00014605
44,6314.31,0.44725,0.45858,0.80586,0.90914,0.89952,0.94585,0.85593,0.43409,0.42451,0.80343,0.000143575,0.000143575,0.000143575
45,6532.34,0.44569,0.45762,0.80602,0.89773,0.89119,0.93652,0.84117,0.45273,0.44449,0.80726,0.0001411,0.0001411,0.0001411
46,6711.54,0.44359,0.45907,0.80612,0.90863,0.89852,0.94356,0.85501,0.42844,0.41985,0.80154,0.000138625,0.000138625,0.000138625
47,6885.36,0.44244,0.45706,0.80608,0.91901,0.89944,0.9509,0.86776,0.40947,0.4028,0.79758,0.00013615,0.00013615,0.00013615
48,7066.33,0.44109,0.44323,0.80445,0.91049,0.89671,0.94493,0.85724,0.43135,0.42096,0.80601,0.000133675,0.000133675,0.000133675
49,7206.26,0.43635,0.43731,0.8044,0.90891,0.90388,0.94765,0.86342,0.41596,0.40709,0.79876,0.0001312,0.0001312,0.0001312
50,7325.2,0.44253,0.43998,0.80516,0.91085,0.90286,0.94695,0.86216,0.41494,0.40835,0.79804,0.000128725,0.000128725,0.000128725
51,7442.33,0.43979,0.44196,0.80326,0.91469,0.90798,0.95074,0.8669,0.4104,0.39778,0.79963,0.00012625,0.00012625,0.00012625
52,7558.76,0.43246,0.42698,0.80313,0.91576,0.89977,0.94567,0.86042,0.41722,0.40844,0.79881,0.000123775,0.000123775,0.000123775
53,7675.12,0.43229,0.42804,0.8047,0.90582,0.91496,0.95078,0.86781,0.4121,0.39597,0.79686,0.0001213,0.0001213,0.0001213
54,7791.89,0.43387,0.42975,0.80225,0.9103,0.91118,0.95181,0.87024,0.40525,0.39264,0.79644,0.000118825,0.000118825,0.000118825
55,7907.74,0.43001,0.42096,0.80301,0.9065,0.91566,0.9495,0.86753,0.40705,0.39456,0.79506,0.00011635,0.00011635,0.00011635
56,8025.17,0.43256,0.41834,0.80286,0.91296,0.90982,0.94931,0.86764,0.4121,0.39516,0.79826,0.000113875,0.000113875,0.000113875
