epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5579.1,0.51978,0.6494,0.82063,0.88689,0.84961,0.92086,0.81842,0.47085,0.54346,0.8103,0.000148525,0.000148525,0.000148525
43,5722.87,0.51819,0.65105,0.81937,0.88631,0.84853,0.91957,0.81118,0.48437,0.54562,0.81021,0.00014605,0.00014605,0.00014605
44,5848.66,0.51511,0.64033,0.81907,0.88943,0.85177,0.92112,0.81911,0.46706,0.53672,0.80844,0.000143575,0.000143575,0.000143575
45,5914.64,0.51352,0.63879,0.81718,0.88923,0.86515,0.92809,0.8303,0.4515,0.52267,0.80501,0.0001411,0.0001411,0.0001411
46,5980.94,0.51589,0.62907,0.81978,0.88597,0.85325,0.92249,0.8192,0.47062,0.53442,0.81023,0.000138625,0.000138625,0.000138625
47,6047.45,0.50508,0.62092,0.8168,0.88022,0.86559,0.92514,0.82414,0.46331,0.52653,0.80796,0.00013615,0.00013615,0.00013615
48,6118.87,0.50686,0.62335,0.81599,0.89614,0.85904,0.92663,0.82684,0.45727,0.51601,0.80587,0.000133675,0.000133675,0.000133675
49,6193.87,0.50355,0.61531,0.81636,0.8953,0.86227,0.9284,0.82724,0.46423,0.51587,0.8063,0.0001312,0.0001312,0.0001312
50,6260.21,0.50424,0.61468,0.81688,0.88563,0.86485,0.92725,0.82628,0.46414,0.51858,0.807,0.000128725,0.000128725,0.000128725
51,6327.32,0.50607,0.60986,0.81773,0.89642,0.86339,0.93003,0.83036,0.45762,0.5094,0.8061,0.00012625,0.00012625,0.00012625
52,6392.61,0.50111,0.60519,0.81633,0.89068,0.86341,0.92959,0.82805,0.46167,0.5095,0.80661,0.000123775,0.000123775,0.000123775
53,6494.69,0.4987,0.59758,0.81668,0.88982,0.86563,0.92706,0.82579,0.46552,0.51196,0.80737,0.0001213,0.0001213,0.0001213
54,6614.37,0.49934,0.5941,0.81583,0.9005,0.86206,0.93024,0.832,0.45387,0.50125,0.80542,0.000118825,0.000118825,0.000118825
55,6693.48,0.49965,0.5896,0.81539,0.89372,0.86549,0.93175,0.83239,0.46183,0.50335,0.80589,0.00011635,0.00011635,0.00011635
56,6795.74,0.49388,0.58888,0.81516,0.89996,0.86427,0.93207,0.83448,0.4519,0.49512,0.80603,0.000113875,0.000113875,0.000113875
57,6912.96,0.49389,0.58773,0.81579,0.89343,0.8656,0.92903,0.82787,0.46302,0.50544,0.80677,0.0001114,0.0001114,0.0001114
58,7020.77,0.49513,0.58754,0.81591,0.89173,0.86873,0.9295,0.8313,0.45744,0.49528,0.80644,0.000108925,0.000108925,0.000108925
59,7119.85,0.49441,0.58704,0.81527,0.88842,0.87548,0.93174,0.83529,0.45445,0.49365,0.80636,0.00010645,0.00010645,0.00010645
60,7218.29,0.49036,0.56903,0.81413,0.88556,0.87625,0.93039,0.8296,0.46116,0.49488,0.80663,0.000103975,0.000103975,0.000103975
61,7288.96,0.49442,0.5796,0.81599,0.89247,0.8781,0.93373,0.83554,0.45324,0.4856,0.80555,0.0001015,0.0001015,0.0001015
62,7358.5,0.49046,0.56766,0.81257,0.90315,0.86757,0.93405,0.83674,0.45176,0.48438,0.80472,9.9025e-05,9.9025e-05,9.9025e-05
63,7423.76,0.49037,0.57116,0.81375,0.90566,0.86484,0.93183,0.83291,0.45688,0.48775,0.80616,9.655e-05,9.655e-05,9.655e-05
64,7488.76,0.48094,0.55938,0.81209,0.90433,0.86895,0.93416,0.83821,0.44807,0.48109,0.80394,9.4075e-05,9.4075e-05,9.4075e-05
65,7557.53,0.49031,0.5609,0.8152,0.90752,0.86413,0.93228,0.83552,0.45386,0.48327,0.80579,9.16e-05,9.16e-05,9.16e-05
66,7628.06,0.48419,0.55629,0.81298,0.90555,0.87576,0.93705,0.84254,0.44314,0.47159,0.80374,8.9125e-05,8.9125e-05,8.9125e-05
67,7708.56,0.48157,0.54854,0.81268,0.89838,0.87706,0.93556,0.83978,0.44679,0.47551,0.80441,8.665e-05,8.665e-05,8.665e-05
68,7777.4,0.47966,0.54696,0.81134,0.90521,0.8738,0.93706,0.84144,0.4462,0.4721,0.80309,8.4175e-05,8.4175e-05,8.4175e-05
69,7848.37,0.48445,0.55294,0.81294,0.91147,0.86954,0.93665,0.84242,0.44172,0.47292,0.80323,8.17e-05,8.17e-05,8.17e-05
70,7923.1,0.4799,0.54668,0.81168,0.89624,0.87774,0.9356,0.8394,0.44734,0.47062,0.8039,7.9225e-05,7.9225e-05,7.9225e-05
71,7997.88,0.48148,0.54415,0.81321,0.90422,0.87775,0.93845,0.84352,0.44273,0.46753,0.80288,7.675e-05,7.675e-05,7.675e-05
72,8064.39,0.47762,0.54045,0.81148,0.90441,0.87652,0.93872,0.847,0.43576,0.4638,0.8018,7.4275e-05,7.4275e-05,7.4275e-05
73,8130.34,0.47795,0.53526,0.81203,0.89585,0.88413,0.93853,0.84514,0.43797,0.46351,0.80204,7.18e-05,7.18e-05,7.18e-05
74,8195.24,0.47609,0.5288,0.81144,0.89399,0.89083,0.94175,0.85055,0.43193,0.45657,0.80054,6.9325e-05,6.9325e-05,6.9325e-05
75,8260.64,0.47763,0.53218,0.81166,0.89618,0.88848,0.9391,0.84754,0.43681,0.46005,0.8016,6.685e-05,6.685e-05,6.685e-05
76,8326.64,0.47345,0.52721,0.81089,0.9033,0.87725,0.93909,0.84703,0.43775,0.46177,0.80142,6.4375e-05,6.4375e-05,6.4375e-05
77,8391.11,0.47318,0.52242,0.81194,0.90914,0.87743,0.93953,0.84882,0.43466,0.45612,0.8005,6.19e-05,6.19e-05,6.19e-05
78,8456.75,0.47324,0.52318,0.81132,0.90856,0.87594,0.9391,0.84705,0.43796,0.45971,0.80216,5.9425e-05,5.9425e-05,5.9425e-05
79,8521.41,0.47081,0.51831,0.8104,0.91173,0.87461,0.9394,0.84732,0.43739,0.45775,0.80151,5.695e-05,5.695e-05,5.695e-05
80,8585.63,0.47037,0.51686,0.81166,0.91092,0.87314,0.93888,0.84568,0.43796,0.45771,0.80154,5.4475e-05,5.4475e-05,5.4475e-05
81,8649.95,0.46757,0.51271,0.80969,0.9006,0.8835,0.93823,0.84612,0.43832,0.4556,0.80119,5.2e-05,5.2e-05,5.2e-05
82,8714.83,0.47158,0.51334,0.81008,0.90602,0.87941,0.93954,0.84845,0.43363,0.45279,0.80037,4.9525e-05,4.9525e-05,4.9525e-05
83,8778.41,0.4669,0.51191,0.80954,0.90436,0.88276,0.93996,0.84799,0.43794,0.45134,0.80205,4.705e-05,4.705e-05,4.705e-05
84,8843.29,0.46634,0.50708,0.80961,0.90271,0.88661,0.94033,0.84842,0.43614,0.45094,0.80152,4.4575e-05,4.4575e-05,4.4575e-05
85,8907.35,0.46555,0.50359,0.8082,0.89873,0.88702,0.93965,0.84774,0.43622,0.45276,0.80126,4.21e-05,4.21e-05,4.21e-05
86,8971.12,0.46589,0.50733,0.80929,0.9077,0.87571,0.93753,0.84542,0.43801,0.45586,0.8019,3.9625e-05,3.9625e-05,3.9625e-05
87,9034.93,0.46366,0.49899,0.80821,0.90418,0.88183,0.93945,0.84919,0.43266,0.45092,0.80094,3.715e-05,3.715e-05,3.715e-05
88,9098.73,0.46273,0.49967,0.80857,0.90289,0.88616,0.93982,0.84941,0.43299,0.44879,0.80091,3.4675e-05,3.4675e-05,3.4675e-05
89,9162.91,0.46274,0.49543,0.81039,0.90899,0.87737,0.93831,0.84703,0.43642,0.45327,0.80176,3.22e-05,3.22e-05,3.22e-05
90,9226.91,0.46118,0.49082,0.80873,0.90963,0.8755,0.93824,0.84631,0.43704,0.4533,0.80214,2.9725e-05,2.9725e-05,2.9725e-05
91,9321.96,0.43818,0.41986,0.79878,0.90724,0.87942,0.93804,0.84774,0.43296,0.45348,0.8015,2.725e-05,2.725e-05,2.725e-05
92,9386.81,0.4336,0.40947,0.79902,0.90602,0.87672,0.93752,0.84699,0.43467,0.45355,0.80155,2.4775e-05,2.4775e-05,2.4775e-05
93,9457.56,0.43133,0.40831,0.79813,0.9188,0.86987,0.93809,0.8476,0.43425,0.45099,0.80105,2.23e-05,2.23e-05,2.23e-05
94,9521.51,0.42851,0.40358,0.79806,0.91465,0.87298,0.93916,0.84925,0.43316,0.44902,0.80095,1.9825e-05,1.9825e-05,1.9825e-05
95,9585.34,0.4249,0.39982,0.79771,0.91529,0.87408,0.93912,0.84927,0.43257,0.44739,0.80112,1.735e-05,1.735e-05,1.735e-05
96,9649.47,0.42612,0.40116,0.79823,0.91173,0.87394,0.93798,0.84799,0.435,0.44996,0.80191,1.4875e-05,1.4875e-05,1.4875e-05
97,9713.94,0.4249,0.39724,0.7975,0.911,0.87371,0.93835,0.84887,0.43144,0.44778,0.80026,1.24e-05,1.24e-05,1.24e-05
98,9778.21,0.42166,0.39406,0.79628,0.91392,0.87434,0.93887,0.84951,0.43031,0.44665,0.79998,9.925e-06,9.925e-06,9.925e-06
99,9842.88,0.4235,0.39605,0.79689,0.91192,0.87398,0.93879,0.84972,0.43001,0.44734,0.80011,7.45e-06,7.45e-06,7.45e-06
100,9908.29,0.42028,0.39186,0.79613,0.91486,0.87075,0.9385,0.84934,0.4309,0.44803,0.80065,4.975e-06,4.975e-06,4.975e-06
